country_code,country_name,indicator_name,indicator_value,confidence_score,evidence_sources,last_updated,expert_validated,validation_notes
ZAF,South Africa,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:34:04.984632,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:39:34.444215,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:45:11.398282,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:50:34.951578,False,Auto-validated based on 4 evidence sources
ZAF,South Africa,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:56:00.151909,False,Auto-validated based on 4 evidence sources
KEN,Kenya,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:56:24.367297,False,Auto-validated based on 4 evidence sources
KEN,Kenya,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:56:47.935534,False,Auto-validated based on 4 evidence sources
KEN,Kenya,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:57:11.081567,False,Auto-validated based on 4 evidence sources
KEN,Kenya,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:57:34.218791,False,Auto-validated based on 4 evidence sources
KEN,Kenya,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T19:57:57.560718,False,Auto-validated based on 4 evidence sources
NGA,Nigeria,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T19:58:18.661801,False,Auto-validated based on 3 evidence sources
NGA,Nigeria,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T19:58:38.546106,False,Auto-validated based on 3 evidence sources
NGA,Nigeria,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T19:58:58.642235,False,Auto-validated based on 3 evidence sources
NGA,Nigeria,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T19:59:18.711000,False,Auto-validated based on 3 evidence sources
NGA,Nigeria,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T19:59:39.970628,False,Auto-validated based on 3 evidence sources
GHA,Ghana,national_ai_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T19:59:56.124380,False,Auto-validated based on 3 evidence sources
GHA,Ghana,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://nita.gov.gh']",2025-08-13T20:00:08.117646,False,Auto-validated based on 4 evidence sources
GHA,Ghana,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T20:00:19.675789,False,Auto-validated based on 3 evidence sources
GHA,Ghana,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T20:00:31.480310,False,Auto-validated based on 3 evidence sources
GHA,Ghana,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023']",2025-08-13T20:00:43.847296,False,Auto-validated based on 3 evidence sources
EGY,Egypt,national_ai_strategy,False,0.98,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://mcit.gov.eg', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:03:05.529763,False,Auto-validated based on 5 evidence sources
EGY,Egypt,data_protection_regulation,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:05:26.539044,False,Auto-validated based on 4 evidence sources
EGY,Egypt,ai_ethics_guidelines,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:07:47.575949,False,Auto-validated based on 4 evidence sources
EGY,Egypt,health_data_governance,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:10:09.151933,False,Auto-validated based on 4 evidence sources
EGY,Egypt,digital_health_strategy,False,1.0,"['https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://www.oxfordinsights.com/government-ai-readiness-index-2023', 'https://au.int/sites/default/files/documents/39218-doc-ai_continental_strategy_eng.pdf']",2025-08-13T20:12:31.015299,False,Auto-validated based on 4 evidence sources
